rating,review
5.0,Nice product
5.0,Good
5.0,❤️‍🩹❣️ki
5.0,Very nice kurta Or kafi bhadiya ha kappda bhi only (75) rs......app sb bhi purchase kr skta ho koi issue nhi ha....
5.0,I am not expecting anything but but but it's really very very very good 😊 I am very happy with this kurti 🖤✨
4.0,Vary nice
5.0,Nice product
5.0,Very nice 👍🤗🖤✨
5.0,
5.0,মিষ্টি
4.0,Nice
5.0,
5.0,Good quality and nice 🥰🥰🥰🥰🙏🙏🙏
+1,Nice
4.0,സൂപ്പർ താങ്ക്സ് മീഷോ 🥰🥰🥰
4.0,❤️♥️♥️♥️ iam also happy❤️♥️🥰💫❤️❤️🥰🥰
5.0,Black kurti
4.0,Achcha
4.0,Nice ??
4.0,Very nice but mujhe sahi nhi ayi tight h h so me return kar rahi hu dusri manga rahi hun
5.0,Very very nice kurti thanks meesho aap log bhi buy kar sakte he kurti bahut acchi he 😊
5.0,Very good fabric..and colour. Pattern also good. Wow kurtii.. amazing in less price.thnkss meesho.
5.0,"The product was very awesome, nice material and feels very comfortable to wear"
5.0,
5.0,
5.0,Awesome but masi ko tight hua
5.0,Good material but length very short
5.0,Nice colour 👍 bahut achcha hai product
5.0,Color and the quality is great
5.0,Nice Kurti I love it 😍💖
5.0,Kapda bahut Accha lag rha h I like it
5.0,Bahut achcha aaya 😍 thanks you meesho
5.0,Bahut hi achcha product tha
5.0,Supper 😀😀😃
5.0,बहुत ही अच्छा है और कपड़ा भी बहुत ही अच्छा है
5.0,
5.0,Super
5.0,Khuba saras
5.0,
5.0,I really so beautiful..
5.0,It's a good product
5.0,Hhh
5.0,👍
5.0,",🥰🥰"
5.0,Very nice super
5.0,Good dress
5.0,Very nice
5.0,Excellent quality
5.0,Good
5.0,👍👍👍👍👍🫳
5.0,Very very very good👍
5.0,I am happy
5.0,I love dis kurti
5.0,Really superb😘🖤🖤
5.0,Good
5.0,Bahut achcha hai
5.0,Nice 👍
5.0,Good
5.0,Valo achhe
5.0,Good product ?
5.0,Good quality 👍 . thank you meshoo
5.0,bhai iska Paisa return kab aaega
5.0,Very beautifull murti thank you meesho
5.0,Good but whash karne parr colour nikal rha hai
5.0,Very nice product hai thank you meesho 😘😘
5.0,Quality is good kapda vi Accha hai
5.0,Jesa deka waisa aya so nice
5.0,This is so nice thank you Meesho
5.0,Thank you so mach bohot khub surat
5.0,Super quality cloth shiney ..... worthy 👍😁💞
5.0,Mast thanks messo Oder bi fast delivery thanks 👍🙏
5.0,Very good product thankyou meesho
5.0,I love this kurti thanks meesho☺️✨
5.0,Kurti bahut hi achha tha I love you meesho
5.0,Bahut acha h koi bhi le skta h
5.0,Very nice fitting and colour
5.0,Vary nice product thanks meesho
5.0,Super cloth was very smoothly
5.0,Very nice kurti Thank you very much meesho
5.0,Very god material colour size
5.0,Nice packaging and delivery is very fast
5.0,size ki matter Hai return karna hai
5.0,Mujhe yah Kapda bahut pasand Aaya
4.0,Nice cloth and nice kurti 😍😍
5.0,Good product value for money
5.0,Bhut hi accha aaya h thankyou meeso
5.0,Very nice and beautiful ❤️❤️❤️❤️
5.0,black colour beautiful 😻😻
5.0,Worth for price And quality is Very Nice 👍
5.0,This product is very good 😊
5.0,Bahot accha aaya hai Quality no.1 thnx mesho👍
5.0,Very nice product tq meesho
5.0,very nice tq meeshu good product
5.0,very nice project thank you
5.0,It’s ok ok prodact but It’s so good
5.0,Price ke according sahi h 🥰🥰
5.0,Very nice kurti ♥️ I love it.
5.0,Good quality of kurti I like this😊 best product
5.0,This koorti is very nice 😀
5.0,Very good dress and febrik very very good
5.0,Bahut beautiful kurti good colour and febrick
5.0,Size.S wrong changer size M yes please
5.0,I love this. Buy this product
5.0,ful Baje chahie tha a Gaya half Baji Bahu bhegu
5.0,It's very good go for it guys
5.0,Verry good product... Thank you Meesho😍
5.0,I love this product ❤️✨ Thanks meesho❤️✨
5.0,Really good 👍🏻 thank you meesho 🎀🖤
5.0,To good thankyou meesho 😊
5.0,Ok but not good according to prize
5.0,Bhut best 👍💯quality bhi best h
5.0,Vary nice thank you messho
5.0,Very very super I like meesho 😘😘😘😘
5.0,"Beautiful ❤️❤️❤️ super , thanks mesho"
5.0,Khup chan aahe thanks you meesho
5.0,Quality little less but worth it for price
5.0,Kya hi khu umid nhi thi but amazing product 😍
5.0,Good product 👌 👍 thanks you meesho
5.0,Very nice kurti☺️ thank you messo
5.0,Tq Meesho product is very nice🥰
5.0,Nice product must buy it thanks for meesho
5.0,Kurti aai h par pant nahi kaise log ho tum
5.0,Bahut hi achha aaya hai thanks messo
5.0,Top aste bandidde pyant bandill
5.0,Very good quality kurti😊🖤I'm so happy 😊
5.0,Very good super prodect thankyou meesho
5.0,Color is very good and fabric is also good
5.0,Nice and perfect go for it 👍
5.0,This is a very beautiful product
5.0,Very nice product. Go for it
5.0,Very Nice product l really like it❤️❤️❤️
5.0,Cloth and quality super. Sooo good thank you
5.0,The product is very nice 👍🙂
5.0,Wow super quality thankyou meesho 🥰🥰🥰
5.0,Verry good worth of money❤️❤️
5.0,Very nice kurti i am very happy
5.0,Good product go for it guyz❤️
5.0,Thank you mesho very nice 🙂
5.0,Very good quality and beautiful
5.0,V v nice thank you meesho
5.0,I Love the dress 👌 metirial correct fitting
5.0,Very good thanks meesho
5.0,Good product cloth texture is best
5.0,Veri good 👌👌👌 thanks meesho
5.0,Very nice beautiful drees I love this drees😊😊😊
5.0,Perfect piece as per order
5.0,Very impressive product I love it
5.0,Super quality✨ very fast 🚴 delivery☺tq meesho 👌
5.0,Good quality nice product♥️
5.0,Very Nice Product Thanks Meesho
5.0,Kurtis the best quality👌
5.0,Good product. Thanks Meesho
5.0,Kup chan aal thank uhh mesho
5.0,Very nice this kurta I will be happy🩷🩷🩷🩷
5.0,Super clothes very super quality is nice
5.0,Good but quality or accha hosakta
5.0,1 kapde ki quality Aur Kapda donon Achcha hai
5.0,So beautiful so elegant just looking like a wow?
5.0,Product is very good thank you meshoo ♥️
5.0,Very nice suit thanks meeso
5.0,Nice dress quality is super tqq mesho...????
5.0,Quality & colour is too good
5.0,Thank you so much Meesho for your wonderful products
5.0,Price ki recording acchi chij hai aap sabhi le sakte hai super
5.0,So beautiful and so comfortable and so so beautiful bahut pyari hai
5.0,
5.0,Good size
5.0,Very good product 👌👌
5.0,बहुत बढ़िया डिजाइन है
5.0,
5.0,Okok not bad
5.0,Very nice kurti
5.0,Good good 👍😊
5.0,Values for money Quality is excellent
5.0,Bahut accha
5.0,Very nice
5.0,product Bombay
5.0,The dress is awesome tq meesho go for it
5.0,I like this kurti fit h acha h bahot
5.0,Good and top is very lenthy
5.0,Acha hain kurti thank you meesho
5.0,🥰So Beautiful dress 🥰
5.0,Good 😊
5.0,Nice 👍 very nice 👍
5.0,Very good product
5.0,Very good kurthi
5.0,Very nice kurti 🥰🥰
5.0,Super top women top
5.0,Ncy
5.0,Very good
5.0,this product very nice
5.0,bahut Achcha hai
5.0,NICE ❤️
5.0,Black kurti wow
4.0,So nice 👌👌👌😍😍😍
5.0,Nice product ♥️♥️♥️♥️♥️
5.0,
5.0,Nice kurti 🫶🫶🫶🫶🫶👌👌👌👌👌👌👌👌🙏
4.0,Very good product ❤️🥰
4.0,Bahut Acha jai
4.0,
4.0,Best
5.0,I am happy
5.0,Good 👍
5.0,Nice 😍 I'm happy .....
5.0,Nice one I love it ✨️
5.0,Worthy product
5.0,Nice
5.0,நன்றாக உள்ளது
5.0,Nice 👍
5.0,
5.0,Good
5.0,Good product
5.0,👌👌
5.0,
5.0,Bahut aachha
5.0,Very classy ☺️
5.0,Khup chhan
5.0,Very Good
5.0,Kam asteen
5.0,Thanks
5.0,
5.0,
5.0,
5.0,
5.0,Very good product
5.0,Very good 👍
5.0,Nice
5.0,Kapad bahut aacha h
5.0,Very good 😊👍🏻
5.0,Nice product 😃
5.0,
5.0,
5.0,Very beautiful ❤️❤️
5.0,Very nice kurti
5.0,Cute Kurti.
5.0,Best 👌👌
5.0,Very nice
5.0,Ek dam mast
5.0,
5.0,Very good quality 🫰🫰👍👍👍
5.0,Good
5.0,
5.0,Good
5.0,Very nice product 💫💫
5.0,🫶👍
5.0,Cancel
5.0,Very nice
5.0,Good 👍👍👍👍👍👍👍👍👍👍👍👍👍
5.0,Bahut hi mast
5.0,Good 👍👍👍😊😊
5.0,Very nice
5.0,Very good product
5.0,Nice
5.0,Chala bhagundi😍😍😍❤️
5.0,Tq so much meedho
5.0,Good.shut
5.0,Very good ???
5.0,Good
5.0,NYC
5.0,Size issue hai isliye return karna padega baaki theek hai aap le sakte ho..!!
5.0,Jesa dam wesa Good 💯 Saman
5.0,Very good cloth in cotton like and in colour you can also purchase it it is very nice
5.0,The sleeves cold have been 3/4 instead of 1/2 sleeves otherwise it's good.In your picture it shows 3/4 but the one I received is only 1/2 sleeves.Dont cheat us like this
5.0,Nice kurti I like it before I buy it I'm not sure about color but now I just say buy it in black color if you like black color clothes
5.0,Pehle pant dikhate hai fir pant hi nhi aata....ooper se short sleeves hai....par acha hai...
5.0,Awesome product super TQ TQ TQ meesho
5.0,Iam very happy cloth is very soft
5.0,Very gud product I am so happy thnks mesho
5.0,There are some loose ends
5.0,Bahut hi achcha kapda hai
5.0,Nice material and buy it.
5.0,Very nice and fast delivery thanks meesho
5.0,Its good product with these price
5.0,very good kapada and size
5.0,Bahut achchha Hain le sakte h
5.0,Money worth product very good thankyou mesho
5.0,Bahot achi h
5.0,Very good nice 🥰🥰🥰🥰💝💝💞
5.0,
5.0,
3.0,Mast
4.0,Good product
4.0,Nice
4.0,Nice fabric
4.0,OK
3.0,
5.0,Where?? Is bottom?? I got only top and first amount was 194 showing but my amount was 204 yyy
5.0,Kurti as shown in the photo and its looks also nice but fabric quality is very bad 😔...
5.0,"The quality was amazing, and i love the design of the kurta .you can definitely buy it"
5.0,Good😊 but fabric can be better but for the price it is worthy
5.0,khup chan aahe colur change aahe blue colur magvlela black colur aalay
5.0,Nice kurta bu according to Xl size the length is short
5.0,"Fabulous kurta , just loved it ❤️✨ , I ordered s size and fitting is awesome ??"
5.0,"Goo product, , maine jaise order kiya tha vaisa hi h"
5.0,Only the length of the hand is different..it is not 3/4th as well as not half hand.. otherwise good.. bt disappointed with these sleeves only
5.0,Wrong product delivered 2 product refund
5.0,Good product 👌
5.0,Good product
5.0,Khoub sundor
5.0,Very good
5.0,okay
5.0,Good quality
5.0,
5.0,Bhot acha hai
5.0,
5.0,Thanks meesho
5.0,
4.0,
4.0,Good
4.0,","
4.0,Nice 👍
